,index,id,createdTime,fields_Web,fields_Original Source,fields_Owner_id,fields_Owner_email,fields_Owner_name,fields_Urban Tech Screening,fields_Sniff Test Notes,fields_Company,fields_Total Investment,fields_Number of Employees backup,fields_Number of Employees,fields_Sub-category (linked),fields_Latitude,fields_Business Address,fields_Category (linked),fields_Employees,fields_Year Founded,fields_Location,fields_Contact Email,fields_Longitude,fields_categorization notes,fields_Category,fields_Survey Sent,fields_Sub-category,fields_Metadata Sources + Notes,fields_Contact Name,fields_Position,fields_Survey Response,fields_Year Acquired or Dissolved,fields_Valuation at Acquisition,fields_Revenue/Budget,fields_Form,fields_Keywords,fields_Pre-Publish Review,fields_Social Media
85,472,recNTZBrdlm28Wfmf,2022-01-05T20:22:37.000Z, https://www.lyft.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"Ridesharing, eScooters, bikes
",Lyft,,,,['recXHKdGEiWcRgmHo'],40.7538549,"441 9th Ave, New York, NY 10001",['receyB6jWwnjSbV8a'],500+,2012.0,Manhattan,,-73.99650480000001,,['Mobility Systems'],,['Mobility Systems:  Shared mobility'],"Investment set to zero

",,,,,,,,"Shared mobility, ride sharing",['Verify jobs #'],
86,488,recOjsZmjgaFWPhwa,2021-10-19T17:25:58.000Z,http://www.growsquares.com,NYC EDC,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"Develops personalised 'squares' for indoor gardening, adapted to the local environment. Analytics provided in accompanying app.
",GrowSquares,8000000.0,8,8.0,['rec7zrOknjV6JR9yL'],,comment: remote?,['recEhjg8dnMkICv2w'],1-10,2016.0,Brooklyn,info@growsquares.com,,,['Food Systems'],2022-03-01,['Food Systems: Urban/Indoor Farming'],"crunchbase
",,,,,,,,,,
87,492,recOol7DTfCTm3BEc,2022-01-13T13:50:26.000Z,https://nycfuture.org/,,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"Has done studies on urban tech in the past
",Center for An Urban Future,,8,8.0,['recKRq9wisBEpQYsw'],40.7045055,"120 Wall Street, 20th Floor, New York, NY, 10005",['recHuk1pvKzYmvRFG'],1-10,1996.0,Manhattan,jbowles@nycfuture.org,-74.0061101,,['Innovation Systems'],2022-03-03,['Innovation Systems: Applied Research'],,Jonathan Bowles,Executive Director,,,,,,,,
88,494,recOuIZ5eqOS5J7Td,2022-01-05T20:22:37.000Z,https://www.zocdoc.com/,TechNYC,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"Find local doctors AT: has always been about local. inclined to keep it

",Zocdoc,,,,,40.7243328,"568 Broadway 2nd Floor New York, NY 10012",['reca3rMDOoKHI3hPh'],500+,2007.0,Manhattan,press@zocdoc.com,-73.997408,,['Health Systems'],2022-03-03,,,,,,,,,,,,
89,501,recPElG8u1G2MFlcs,2022-01-05T20:22:37.000Z,https://www.nytech.org/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,,New York Tech Alliance,,,,['recTxg8F0FeUTZcU5'],40.7551316,"307 W 38th St, Floor 13, New York, NY, 10018",['recHuk1pvKzYmvRFG'],11-50,2009.0,Brooklyn,,-73.992355,,['Innovation Systems'],,['Innovation Systems: Networking'],"Could not find their address anywhere, but LinkedIn mentions Brooklyn as their base. First mention of a project was in 2011, so I've used that as the year of founding. AT https://www.cbinsights.com/company/new-york-technology-council
",,,,,,,https://www.nytech.org/contact_us,,,
90,502,recPFvKN53nLarhaP,2022-01-05T20:22:37.000Z,https://www1.nyc.gov/site/doitt/index.page,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,,DoITT,,1200,1200.0,['recUwmBtQkN1prgeh'],40.693364,"2 MetroTech Center, New York, NY",['recRDZqf1tuLAXPKP'],500+,1995.0,Brooklyn,communications@doitt.nyc.gov,-73.9857147,,['Civic Systems'],2022-03-03,['Civic Systems: GovTech'],"Address on Google Maps. Number of employees from Crunchbase
",,,,,,,,,,
91,506,recPPvatHDGwG5VBY,2021-10-26T19:39:02.000Z,https://govos.com/,,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"The GovOS government software platform offers a suite of cloud-based solutions that enable local governments to automate and streamline operations, provide seamless access to resources and information, and deliver cutting-edge digital services to businesses, residents and agencies.
",Seamlessdocs (acquired by Kofile),11700000.0,81,81.0,['recUwmBtQkN1prgeh'],40.7446047,"3 E 28th St, 2nd fl, New York, NY 10016",['recRDZqf1tuLAXPKP'],51-100,2009.0,Manhattan,,-73.9865413,,['Civic Systems'],,['Civic Systems: GovTech'],"looks like they kept the seamlessdocs team in place in NYC https://www.prnewswire.com/news-releases/govos-inc-establishes-headquarters-in-austin-tx-301348711.html
",,,,,,,,,,
92,508,recPcgl5jStl3HNpy,2022-01-05T20:22:37.000Z,https://www.curacity.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"Hotels. We transform the point of inspiration into your most important revenue strategy.
",Curacity,7300000.0,,,['recORPBP8BX0IpO53'],40.7410448,"110 East 25th St, New York, NY 10010",['recdgZhrJxyjqLAb9'],1-10,2015.0,Manhattan,contact@curacity.com,-73.9848854,,['Housing Systems'],2022-03-03,['Housing Systems: Lodging'],"Address from website. Employees and funding from Crunchbase
",,,,,,,,,,
93,509,recPct1ZYgJEQsNXL,2021-10-19T17:41:34.000Z,https://energy-vision.org,NYC EDC,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"Independent environmental research institution focusing on clean and renewable energy
",Energy Vision,,21,21.0,['recDZbMMMp5QJXXpQ'],40.7326755,"138 East 13th Street New York, NY 10003",['recoxnv8QKuu7vlwx'],11-50,2009.0,Manhattan,admin@energy-vision.org,-73.9882298,,['Energy Systems'],2022-03-01,['Energy Systems: Renewables'],"Not able to find total investment $
",,,,,,,https://www.energyvision.net/contact-us.html,"Research Non-Profit, Think Tank",,
94,511,recPenqxssTnr1i92,2022-01-31T15:15:06.000Z,https://aren.ai,,,,,Passed,,Aren,2400000.0,,,['recGHYsDjnI768Tud'],,,,1-10,,Manhattan,,,,['Construction Systems'],,"['Construction Systems: Safety', 'Construction Systems: Surveying & Design']",,,,,,,,,,,
95,514,recPknVA0JsApW7Fq,2021-10-26T19:55:52.000Z,https://directionalgroup.com/index.html,NYC EDC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"Mostly focused on mobility plays. Directional Group is an advisory consulting firm assisting with execution of financial and strategic initiatives. They focus on businesses in the urban tech sector that are pursuing innovation, new products, new markets or simply better results.  
",Directional Group,,,,['rec9YdIfEpeflVrvZ'],,"140 Riverside Boulevard, New York, NY 10069",['recHuk1pvKzYmvRFG'],1-10,2014.0,Manhattan,,,,['Innovation Systems'],,['Innovation Systems: Investing'],"website only lists 1 person and looks like a small consulting outfit, founding date per linkedin JL: https://urbantechnyc.com/organization/directional-group/

",,,,,,,,,,
96,516,recPmmFnlOYEuw6T2,2021-11-02T17:34:01.000Z,www.eva.xyz,,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"We serve as the link from ground to sky for UAV operators, and we will not stop until the perfect infrastructure for professional UAV traffic is achieved.
",EVA,270000.0,,,['recQgYIrFeJrCevUk'],40.7246788,"29 Norman Ave, Brooklyn, NY, 11222",['receyB6jWwnjSbV8a'],11-50,2017.0,Brooklyn,,-73.9548791,,['Logistics Systems'],,['Logistics Systems: Drones'],,,,,,,,,,,
97,518,recPpKLZtQN36eV9D,2021-10-11T13:19:25.000Z,https://www.renthop.com/,,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"Rental search company
",RentHop,350000.0,11,11.0,['recpqZAbOMUsb5rTl'],40.7234213,"335 Madison Ave, 4th Floor, New York, NY 10017, US",['recdgZhrJxyjqLAb9'],11-50,2009.0,Manhattan,press@renthop.com,-74.00545319999999,smart apartment search website,['Housing Systems'],2022-03-01,"['Housing Systems: Listings, Referral & Brokerage']",,,,"Hi Anthony,

Thanks for reaching out. I have a few corrections for you (in red below)
Name: RentHop
Business Address: 335 Madison Ave, 4th Floor, New York, NY 10017, US
Year Founded: 2009
Employment Range: 11-50
Number of Employees: 11
Total Investment: $350,000
Please let me know if you have any further questions.

Best,
Alex

Alex Peña (she/her)
Public Relations
[alex@renthop.com](mailto:alex@renthop.com) 

",,,,,,,
98,519,recPpqSZacwQmwprR,2021-11-02T02:17:42.000Z,https://mycoop.com/,NYC EDC,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"Mycoop is a communication and messaging hub for residential buildings
",Mycoop Technologies,300000.0,2,2.0,['rec3hVUb0uifxVbD5'],40.7662847,"314 W 56th St, New York, 10019, US",['recdgZhrJxyjqLAb9'],1-10,2013.0,Manhattan,hello@mycoop.com,-73.9843344,"building hub communication platform
",['Building Systems'],2022-03-02,['Building Systems: Facilities Management'],,,,,,,,,,,
99,522,recPxt1ZRxE4KAG7t,2022-01-05T20:22:37.000Z,https://makespace.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,,MakeSpace,142600000.0,,,['rec3fcQklEN5Ghcrr'],40.7094756,"123 William St, New York, NY 10038",['receyB6jWwnjSbV8a'],101-250,2013.0,Manhattan,press@makespace.com,-74.0072955,,['Logistics Systems'],2022-03-03,['Logistics Systems: Remote Storage'],"Address from Builtinnyc.com. Employees and funding from Crunchbase.
",,,,,,,,,,
100,523,recPycldncLRaWs7L,2022-01-05T20:22:37.000Z,https://www.clarifai.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,,Clarifai,100000000.0,,,['recKd0KOVz9BhWPMt'],40.74148510000001,32 West 22nd Street New York NY,['rece3dYUKHXpHhEkU'],11-50,2013.0,Manhattan,info@clarifai.com,-73.9919328,,['Information Systems'],2022-03-03,['Information Systems: Location Intelligence'],"Not all employees in NYC. Employee count includes only those in NYC on LinkedIn. Address from Builtinnyc	
",,,,,,,,,,
101,524,recQ6Y7ZW2NI41mJh,2022-01-05T20:22:37.000Z,https://www.casebook.net/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"Software for human services (e.g. foster care, domestic abuse, youth and family services)
",Casebook PBC,4000000.0,41,41.0,['rec32FBd1SexYCrG5'],40.7446298,"244 5th Ave Suite T248, New York, NY 10001",['recRDZqf1tuLAXPKP'],11-50,2018.0,Manhattan,info@casebook.net,-73.987667,,['Civic Systems'],2022-02-28,['Civic Systems: Human Services'],"Address on Google Maps. Employees and funding on Crunchbase. 
",,,"employees = 41
",,,,,,,
102,532,recQYo7Bf0I36nQv3,2022-01-05T20:22:37.000Z,https://visuwall.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"this is a tough one because not sure we want to group this with Numina as a ""public space tech"", it should probably go closer to Intersection
",VisuWall,1600000.0,,,['recKd0KOVz9BhWPMt'],40.7352174,"68 5th Ave, New York, NY 10011",['rece3dYUKHXpHhEkU'],1-10,2015.0,Manhattan,hello@visuwall.com,-73.9944289,,['Information Systems'],2022-03-03,['Information Systems: Location Intelligence'],"Address from Manhattan CoC. Employees and funding from Crunchbase. 
",,,,,,,,,,
103,534,recQbRuy04cNJJ5Wr,2021-10-19T19:54:38.000Z,www.wear.works,,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Company producing wristbands that provide navigation instructions using vibrations, for hearing/visually impaired.
",WearWorks,160000.0,,,['recMljynTYjGtXbYr'],40.7246788," 29 Norman Ave, New York, NY 11222, US",['receyB6jWwnjSbV8a'],1-10,2015.0,Brooklyn,hello@wear.works,-73.9548791,,['Mobility Systems'],2022-03-01,['Mobility Systems: Navigation & Wayfinding'],,,,,,,,,Accessibility,,
104,541,recQv8DtBstkL8bNU,2022-01-05T20:22:37.000Z,https://moved.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"Online moving concierge/guide.

",Moved,3200000.0,,,['recTK7H4wtd7cQBhB'],40.7105274,"200 Broadway, New York, NY 10038",['recdgZhrJxyjqLAb9'],11-50,2016.0,Manhattan,,-74.00899369999999,,['Housing Systems'],,['Housing Systems: Resident Services'],"Employees on LinkedIn higher than Crunchbase (1-10)
",,,,,,,,,,
105,543,recR0jCjZrXc0ZSH3,2022-01-05T20:22:37.000Z,https://www.mapzen.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"Open-source mapping platform
",Mapzen,,,,['recKd0KOVz9BhWPMt'],40.7441558,"30 W 26th St, 7th Floor, New York NY 10010",['rece3dYUKHXpHhEkU'],1-10,2013.0,Manhattan,support@mapzen.com,-73.9904866,,['Information Systems'],2022-03-03,['Information Systems: Location Intelligence'],"Crunchbase notes they closed down in 2018, but I cannot verify this. AT verified at https://www.wired.com/story/mapzen-shuts-down/
",,,,2018.0,0.0,,,,,
106,551,recREE66FOlTWyVWt,2021-10-26T20:40:37.000Z,https://pillar.tech/,,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"Device that measures environmental metrics in construction sites
",Pillar Technologies,3400000.0,3,3.0,['rec1HjG8ErJDBzk43'],40.75365730000001,"335 Madison Ave, 4th Floor NY, NY 10017",['recdgZhrJxyjqLAb9'],1-10,2015.0,Manhattan,info@pillar.tech,-73.9782445,,['Construction Systems'],2022-03-02,['Construction Systems: Construction Management'],,,,,,,488505.0,,Construction Site Sensor,,
107,557,recRZvwCWv2481iVo,2021-10-26T19:35:48.000Z,https://www.upcycles.biz,,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Human-electric cargo trikes for efficient and sustainable last-mile transport.
",Upcycles,60000.0,,,['recr9vstr2rJolJDz'],40.7230267," 195B N14th St, Brooklyn, NY, NY 11249, US ",['receyB6jWwnjSbV8a'],1-10,2017.0,Brooklyn,,-73.95537519999999,,"['Logistics Systems', 'Mobility Systems']",,"['Mobility Systems: Vehicles', 'Logistics Systems: Last-Mile']",,?? Couldn't find this company,,,,,,,"Micromobility, Logistics",,
108,565,recRwX5hI3UQd01kn,2021-11-02T01:03:16.000Z,https://www.joinpropel.com/,,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"""Jimmy Chen graduated from Stanford, worked at Facebook and left for a fellowship, hoping to produce software for people in poverty. His start-up, Propel, offers a free app that five million households use to manage their food stamp benefits.""
",Propel,90000000.0,65,65.0,['rec32FBd1SexYCrG5'],40.6913356,"397 Bridge St Fl 8, Brooklyn, NY 11201",['recRDZqf1tuLAXPKP'],51-100,2014.0,Brooklyn,info@joinpropel.com,-73.985075,,['Civic Systems'],2022-03-02,['Civic Systems: Human Services'],,is this the right company?,,"Hi Anthony, thanks for the inclusion. 

We now have 65 employees. We have raised a total of $90m of capital. The other information is correct.

Thanks,
Jimmy
",,,,,,,
109,567,recS0spkQHszC7lKC,2022-01-05T20:22:37.000Z,https://www.peerspace.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"Rent locations for e.g. video shoots or events
",Peerspace,34800000.0,,,['recXTrODcFXkbucO3'],40.7405773,"115 West 18th Street, Second floor, Peerspace, New York, NY 10011",['recdgZhrJxyjqLAb9'],1-10,2014.0,Manhattan,team@peerspace.com,-73.9957362,,['Building Systems'],2022-03-03,['Building Systems: Property Management'],"Address on Google Maps (large presence in SF too)
",,,,,,,,,,
110,569,recS4OULIrx51EeKD,2021-10-26T20:36:50.000Z,https://www.ridecircuit.com/,,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Circuit (Formerly The Free Ride) is an all-electric, local shuttle service. Business focus appears to be on providing an ads platform on top of the shuttles.
",Circuit,2300000.0,,,['recXHKdGEiWcRgmHo'],40.7042791,"20 Jay St #312, Brooklyn, NY 11201",['receyB6jWwnjSbV8a'],101-250,2011.0,Brooklyn,info@ridecircuit.com,-73.9868096,,['Mobility Systems'],2022-03-02,['Mobility Systems:  Shared mobility'],,,,,,,,,"EV, Public Transportation, Shared Mobility",,
111,579,recSJcxhfWd0wKjNO,2022-01-05T20:22:37.000Z,https://www.blueapron.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed," Meal service
",Blue Apron,199500000.0,,,['recRmZEGi4RvhgsfE'],40.7083474,"28 Liberty St 28th FL, New York, NY 10005",['recEhjg8dnMkICv2w'],500+,2012.0,Manhattan,contact@blueapron.com,-74.0088549,,['Food Systems'],2022-03-03,['Food Systems:  Delivery'],"CrunchBase + Google Maps
",,,,,,,,,,
112,586,recSlCJHS3CICJ8Nw,2021-10-11T13:43:55.000Z,https://boweryfarming.com/,,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"Bowery Farming uses vision systems, automation technology, and machine learning to monitor plants and their growth.
",Bowery Farming,638200000.0,378,378.0,['rec7zrOknjV6JR9yL'],40.7457851,"151 W 26TH ST, 12TH FLOOR, NEW YORK, NY 10001",['recEhjg8dnMkICv2w'],251-500,2015.0,Manhattan,contact@boweryfarming.com,-73.9932445,,['Food Systems'],2022-03-01,['Food Systems: Urban/Indoor Farming'],"crunchbase
",,,,,,,,,,
113,599,recTP6e1loLJstq5Z,2022-01-27T19:36:14.000Z,https://www.easyaerial.com/about-us/,,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,,Easy Aerial,11200000.0,,,['recQgYIrFeJrCevUk'],40.6985551," 141 Flushing Ave, Building 77, Suite 610, Brooklyn, New York 11205, US ",['receyB6jWwnjSbV8a'],51-100,2014.0,Brooklyn,info@easyaerial.com,-73.9712029,,['Logistics Systems'],2022-03-03,['Logistics Systems: Drones'],,,,,,,,,,,
114,609,recTsqNyCpX8OmIXX,2021-10-26T19:32:17.000Z,https://cleantech-hub.dk/new-york/,NYC EDC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"Connecting New York with Danish Cleantech solutions and expertise
",Danish Cleantech Hub,,4,4.0,['recg3IwW4njNc0Qdp'],40.6929116,"370 Jay Street, 7th floor, Brooklyn, NY, 11201",['recHuk1pvKzYmvRFG'],1-10,2013.0,Manhattan,lfk@di.dk,-73.98746129999999,,['Innovation Systems'],2022-03-01,['Innovation Systems: Accelerators & Incubators'],"website team page	
",Louis Funder,US General Manager,,,,,,,,
115,617,recUGh1sWT40xHuQB,2022-01-05T20:22:37.000Z,https://www.hoplitepower.com/	,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"Portable charging kiosks
",Hoplite Power,835500.0,2,2.0,['rec31GwmRDlkBUANu'],40.745103,"29-10 Thomson Avenue  NYDesigns C760 Ste. #20  Long Island City, NY 11101",['recoxnv8QKuu7vlwx'],1-10,2014.0,Queens,jordan@hoplitepower.com,-73.93759299999999,,['Energy Systems'],2022-03-03,['Energy Systems: Grid'],"Employee range and count: LinkedIn. Total investment - angel.co / pitch book.com (might be outdated as last round mentioned was in 2017 on angel.co; some extra info available on pitch book but it is blurred out).
Confused about subcategory - Does not fit under any of the current ones. 
",Jordan Mayerson,CEO,,,,,,,,
116,620,recUNMMph8QlhaoCV,2022-01-06T21:48:06.000Z,http://www.intersection.com,,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"runs LinkNYC network of kiosks
",Intersection,150000000.0,172,172.0,['recrSVGURn4rHAspL'],40.7526964,"10 Hudson Yards, fl 26, New York, NY 10001",['recRDZqf1tuLAXPKP'],101-250,2015.0,Manhattan,hello@intersection.com,-74.0011033,urban marketing in public,['Civic Systems'],2022-03-03,['Civic Systems: Public Space Tech'],"growjo	
",,,,,,,,,,
117,627,recUhTqmcjCBvuk49,2022-01-05T20:22:37.000Z,https://doorkee.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"ok because it focuses on urban living
",Doorkee,5900000.0,,,['recpqZAbOMUsb5rTl'],40.7539115,"757 3rd Ave, New York, NY",['recdgZhrJxyjqLAb9'],11-50,2017.0,Manhattan,support@doorkee.com,-73.971662,,['Housing Systems'],2022-03-03,"['Housing Systems: Listings, Referral & Brokerage']","Address on Builtinnyc	
",,,,,,,,,,
118,628,recUi2FE5JV2KZp0X,2021-11-02T16:28:53.000Z,https://newlab.com/,NYC EDC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"We build companies. We bring founders together. We pair experts with industry and civic leaders and use our shared resources to power entrepreneurs. We are relentless in the pursuit of solving systemic challenges with frontier technologies.
",New Lab,3000000.0,84,84.0,['recg3IwW4njNc0Qdp'],40.6992184,"19 Morris Ave, Brooklyn, NY 11205",['recHuk1pvKzYmvRFG'],51-100,2016.0,Brooklyn,shaun@newlab.com,-73.9739135,"hardware-focused shared workspace, research lab, and hatchery for socially-oriented tech manufacturing",['Innovation Systems'],2022-03-02,['Innovation Systems: Accelerators & Incubators'],,Shaun Stewart,CEO,,,,,,,,
119,634,recUzCGXnzCU8yZjr,2022-01-05T20:22:37.000Z,https://ridewithvia.com/tag/nyc/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,,Via Transportation,777000000.0,,,['recFdD4KnUimyaKUC'],40.7200313,"10 Crosby St, New York, NY 10013",['receyB6jWwnjSbV8a'],500+,2012.0,Manhattan,info@ridewithvia.com,-74.0004721,,['Mobility Systems'],2022-03-03,['Mobility Systems: TransitTech'],,,,,,,,,,,
120,650,recW110K3JDwpQfQy,2022-01-05T20:22:37.000Z,https://www.vegafactor.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"remote workplace design?
",Vega Factor,,,,['recVC3ZXCuU3trkwt'],40.7555104,"2 W 45th St, New York, NY 10036",['rec5CKA579ehIVo7b'],11-50,2015.0,Manhattan,,-73.9802022,,['Labor Systems'],,['Labor Systems: Hybrid Solutions'],"Address on website; no funding information
",,,,,,,https://www.vegafactor.com/contact-us,,,
121,654,recWB4OpqpwzkhRQR,2022-01-05T20:22:37.000Z,Microsoft - Official Home Page,TechNYC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"in same cat as google, need to create a new one, or separate out their urbantech functions? at one point their civictech group was here
",Microsoft Corporation,,,,['recUwmBtQkN1prgeh'],,"11 Times Sq. Fl 7, 8th Ave New York, NY 10014",['recRDZqf1tuLAXPKP'],500+,1975.0,Manhattan,,,,['Civic Systems'],,['Civic Systems: GovTech'],,,,,,,,,,,
122,655,recWDqQnJINUo18Gy,2021-10-26T19:30:37.000Z,https://ufl.nyc/,NYC EDC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"CleanTech incubator and academic program housed within NYU's Tandon School
",Urban Future Lab,,8,8.0,['recg3IwW4njNc0Qdp'],40.6929116,"370 Jay Street, 7th Floor Brooklyn, NY 11201",['recHuk1pvKzYmvRFG'],1-10,2009.0,Brooklyn,info@ufl.nyc,-73.98746129999999,,['Innovation Systems'],2022-03-01,['Innovation Systems: Accelerators & Incubators'],"website lists team members

",,,,,,,,"Incubator, Clean Tech",,
123,658,recWJzA8K55Nf3vsq,2021-11-02T01:44:23.000Z,https://coursehorse.com/,,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"CourseHorse is a provider of a learning platform used to centralize the learning opportunities—""local"" courses.
",CourseHorse,4000000.0,,,['recwxuOhp0qYWjAzD'],40.7382752,"220 E 23rd St #500, New York, NY",['reca3rMDOoKHI3hPh'],11-50,2011.0,Manhattan,hello@coursehorse.com,-73.9822849,,['Education Systems'],2022-03-02,['Education Systems: Open Education'],"crunchbase,but website has a DC address


",,,,,,,,MOOC,,
124,662,recWXjF8BitjQvusQ,2022-01-31T15:13:27.000Z,https://actuate.ai,,,,,Passed,,Actuate,10000000.0,,,['rec2dmT4omxI34ORF'],,"1216 Broadway Suite 316, New York, NY 10001",['recqVXmif5koh0T0u'],11-50,2018.0,Manhattan,info@actuate.ai,,,['Public Safety Systems'],2022-03-03,['Public Safety: Monitoring'],,,,,,,,,,,
125,678,recXYmTa3xGs0Zi0f,2021-11-02T18:57:29.000Z,www.transfernation.org,,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"raeri is an alternative to trash hauling. We take usable items that were headed to the trash from retailers, commercial & residential buildings, production sets and events, and upcycle these items to people, programs, and marketplaces where they can be utilized.
",Transfernation/Raeri,,5,5.0,['recsZ3Zc9dgmOn2NC'],40.7320147,"93 4TH Ave New York, NY 10003",['recb7WeB0tStkTUq8'],1-10,2016.0,Manhattan,,-73.9897567,,['Waste Systems'],,['Waste Systems: Diversion'],"linkedin	
",Hannah Dehradunwala,Founder and CEO,,,,,https://raeri.co/contact,,,
126,681,recXf60mKk05Sm0Xc,2022-01-05T20:22:37.000Z,https://www.tesla.com/,TechNYC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"they do seem to be hiring some engineers for self-driving in NYC	https://g.co/kgs/i3cz2g
",Tesla,,,,['recBK2rW9pSktPsk8'],,,['receyB6jWwnjSbV8a'],500+,2003.0,Manhattan,,,,['Mobility Systems'],,['Mobility Systems: Vehicles'],"Investment set to zero to reflect branch office. showrooms in Meatpacking and Red Hook, not sure if office
",,,,,,,,,,
127,683,recXh1areQZIa87UQ,2021-10-19T16:44:20.000Z,www.venturespace.nyc,NYC EDC,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"Provides a tool that identifies companies that will soon be looking for new office space
",VentureSpace,,3,3.0,['recXTrODcFXkbucO3'],40.754045,"315 W 36th St, New York, NY 10018, US",['recdgZhrJxyjqLAb9'],1-10,2018.0,Manhattan,team@venturespace.nyc,-73.9933586,"for real estate owners/brokers: connect office demand with potential tenants. seems really small
",['Building Systems'],2022-03-01,['Building Systems: Property Management'],"can't find investment #
",Ryan Babikian,,,,,,,,,
128,699,recY5CIVLDHPE3jrk,2021-11-02T02:11:33.000Z,https://oyasolar.com,,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"OYA Solar develops large-scale solar projects that brings cost-effective energy and widespread economic benefits to local communities.
",Oya Solar,35000000.0,34,34.0,['recDZbMMMp5QJXXpQ'],40.754455,"230 Park Ave 3rd Floor West, Suite 443 New York, NY 10169",['recoxnv8QKuu7vlwx'],11-50,2009.0,Manhattan,info@oyasolar.com,-73.9760113,,['Energy Systems'],2022-03-02,['Energy Systems: Renewables'],"Employee range and count: LinkedIn. Funding source: https://www.cbinsights.com/company/oya-solar/financials. 
",,,,,,3350000.0,,"Solar Development, Community Solar",,
129,703,recYRocRU4HE56SiY,2022-01-05T20:22:37.000Z,https://futurelabs.nyc/programs/ainexuslab,TechNYC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"AI accelerator no urbantech focus, but lots of urbantech companies have been thru, probably tied to CUSP somehow, so pass
",AI NexusLab,,1,1.0,['recg3IwW4njNc0Qdp'],40.6929116,"370 Jay Street, 7th Floor Brooklyn, NY 11201",['recHuk1pvKzYmvRFG'],1-10,2016.0,Brooklyn,hello@futurelabs.nyc,-73.98746129999999,,['Innovation Systems'],2022-03-03,['Innovation Systems: Accelerators & Incubators'],"based on website	
",,,,,,,,,,
